comment_id,user_id,comment_text,sentiment
1,user123,I'm genuinely happy for you! Keep shining!,happy
2,johndoe45,This is utterly disappointing. You should improve.,sad
3,sara_mills,Sending you love and support always!,supportive
4,emily_wang,This is beyond amazing! Keep it up!,happy
5,alex_07,You're such a disappointment. Grow up.,angry
6,lily_grace,You're such an inspiration to me!,supportive
7,chris_park,This is just heartbreaking. Unbelievable.,sad
8,sophie_89,Your work always makes me smile!,happy
9,sam_cook,Stop trying so hard. It's embarrassing for you.,mean
10,mia_robinson,Keep shining bright! You're truly amazing.,happy
11,zara_khan,I'm so disappointed in this. It's really sad.,sad
12,maxwell_33,You're doing great! Don't give up. Keep going!,supportive
13,lucas_smith,Your content always lifts me up!,happy
14,ella_west,You're just a waste of space. Completely useless.,angry
15,jason_li,I believe in you. Keep pushing forward!,supportive
16,phoebe_rose,This is so heartwarming. Great job!,happy
17,nate_miller,Stop polluting the internet with your garbage.,angry
18,olivia_02,You're a ray of sunshine! Keep it up.,happy
19,liam_brown,This is disappointing. You can do better.,sad
20,zoe_carter,You're amazing and don't let anyone tell you otherwise!,supportive
21,adam_tan,Your content brightens my day!,happy
22,eva_clark,Just stop. It's painful to watch.,angry
23,noah_hill,You're a true inspiration! Keep going!,supportive
24,amelia_white,I can't stop smiling at this. Great work!,happy
25,leo_garcia,You're a disgrace. Shameful.,angry
26,mia_turner,You're making a positive impact. Keep it up!,supportive
27,luca_martinez,This is so disappointing. Not what I expected.,sad
28,ava_adams,You bring so much joy to your audience!,happy
29,jack_rivera,You're just embarrassing yourself. Stop.,angry
30,isla_nguyen,Keep spreading positivity! You're doing great.,supportive
31,daniel_kim,Your content always brightens my day!,happy
32,grace_lee,This is terrible. You should be ashamed.,angry
33,owen_wilson,You're an inspiration to so many!,supportive
34,mia_jackson,This is incredibly disappointing. Let's do better.,sad
35,lucas_phillips,Your work always brings a smile to my face!,happy
36,ella_cooper,You're just a negative presence. Go away.,angry
37,logan_hall,You're making a difference. Keep it up!,supportive
38,lily_bell,This is so heartwarming. Thank you!,happy
39,sam_wright,Stop with the negativity. It's exhausting.,angry
40,ava_cook,Your positivity is infectious! Keep it up.,supportive
41,noah_roberts,This is so disappointing. I expected better.,sad
42,olivia_harris,You're a bright light in this world!,happy
43,liam_turner,Stop spreading hate. It's not welcome here.,angry
44,zoe_king,Your encouragement means the world to so many!,supportive
45,adam_baker,This is amazing! Keep doing what you're doing.,happy
46,eva_gonzalez,You're just a downer. Can't stand it.,angry
47,noah_castillo,Your positivity is needed. Keep it up!,supportive
48,amelia_morris,This is so heartwarming. Thank you for sharing!,happy
49,leo_nguyen,You're just spreading negativity. Stop it.,angry
50,mia_flores,Your support means everything. Keep shining!,supportive
1,user123,I'm genuinely happy for you! Keep shining!,happy
2,johndoe45,This is utterly disappointing. You should improve.,sad
3,sara_mills,Sending you love and support always!,supportive
4,emily_wang,This is beyond amazing! Keep it up!,happy
5,alex_07,You're such a disappointment. Grow up.,angry
6,lily_grace,You're such an inspiration to me!,supportive
7,chris_park,This is just heartbreaking. Unbelievable.,sad
8,sophie_89,Your work always makes me smile!,happy
9,sam_cook,Stop trying so hard. It's embarrassing for you.,mean
10,mia_robinson,Keep shining bright! You're truly amazing.,happy
11,zara_khan,I'm so disappointed in this. It's really sad.,sad
12,maxwell_33,You're doing great! Don't give up. Keep going!,supportive
13,lucas_smith,Your content always lifts me up!,happy
14,ella_west,You're just a waste of space. Completely useless.,angry
15,jason_li,I believe in you. Keep pushing forward!,supportive
16,phoebe_rose,This is so heartwarming. Great job!,happy
17,nate_miller,Stop polluting the internet with your garbage.,angry
18,olivia_02,You're a ray of sunshine! Keep it up.,happy
19,liam_brown,This is disappointing. You can do better.,sad
20,zoe_carter,You're amazing and don't let anyone tell you otherwise!,supportive
21,adam_tan,Your content brightens my day!,happy
22,eva_clark,Just stop. It's painful to watch.,angry
23,noah_hill,You're a true inspiration! Keep going!,supportive
24,amelia_white,I can't stop smiling at this. Great work!,happy
25,leo_garcia,You're a disgrace. Shameful.,angry
26,mia_turner,You're making a positive impact. Keep it up!,supportive
27,luca_martinez,This is so disappointing. Not what I expected.,sad
28,ava_adams,You bring so much joy to your audience!,happy
29,jack_rivera,You're just embarrassing yourself. Stop.,angry
30,isla_nguyen,Keep spreading positivity! You're doing great.,supportive
31,daniel_kim,Your content always brightens my day!,happy
32,grace_lee,This is terrible. You should be ashamed.,angry
33,owen_wilson,You're an inspiration to so many!,supportive
34,mia_jackson,This is incredibly disappointing. Let's do better.,sad
35,lucas_phillips,Your work always brings a smile to my face!,happy
36,ella_cooper,You're just a negative presence. Go away.,angry
37,logan_hall,You're making a difference. Keep it up!,supportive
38,lily_bell,This is so heartwarming. Thank you!,happy
39,sam_wright,Stop with the negativity. It's exhausting.,angry
40,ava_cook,Your positivity is infectious! Keep it up.,supportive
41,noah_roberts,This is so disappointing. I expected better.,sad
42,olivia_harris,You're a bright light in this world!,happy
43,liam_turner,Stop spreading hate. It's not welcome here.,angry
44,zoe_king,Your encouragement means the world to so many!,supportive
45,adam_baker,This is amazing! Keep doing what you're doing.,happy
46,eva_gonzalez,You're just a downer. Can't stand it.,angry
47,noah_castillo,Your positivity is needed. Keep it up!,supportive
48,amelia_morris,This is so heartwarming. Thank you for sharing!,happy
49,leo_nguyen,You're just spreading negativity. Stop it.,angry
50,mia_flores,Your support means everything. Keep shining!,supportive
51,sophia_smith,Your creativity is truly inspiring!,happy
52,liam_jones,This is really sad. It's disappointing.,sad
53,zara_martin,You're an incredible human being. Keep it up!,supportive
54,oliver_davis,This is absolutely fantastic! Great job!,happy
55,isabella_rodriguez,You're such a letdown. Disappointed.,sad
56,mia_taylor,Your positive energy is contagious! Keep it up.,supportive
57,noah_martinez,This is disheartening. You should do better.,sad
58,ava_wilson,Your posts always bring a smile to my face!,happy
59,ethan_clark,You're just a negative influence. Stop.,angry
60,emma_anderson,Your kindness is truly appreciated. Keep it up!,supportive
61,william_roberts,This is so disheartening. You're better than this.,sad
62,sophia_murphy,Your positive attitude is infectious!,happy
63,james_stewart,You're such a disappointment. Improve.,sad
64,emily_scott,Your support means everything to me!,supportive
65,daniel_adams,This is truly amazing! Keep up the great work!,happy
66,lily_hill,You're just spreading negativity. Stop.,angry
67,ethan_gonzalez,Your support is invaluable. Keep shining!,supportive
68,olivia_morris,This is heartwarming. Keep doing what you do!,happy
69,liam_rivera,You're just a downer. Can't stand it.,angry
70,ava_castillo,Your positivity is needed. Keep spreading it!,supportive
71,noah_murphy,This is so heartwarming. Thank you for sharing!,happy
72,oliver_turner,You're just spreading negativity. Stop it.,angry
73,isabella_rodriguez,Your support means everything. Keep shining!,supportive
74,william_clark,Your creativity is truly inspiring!,happy
75,sophia_smith,This is really sad. It's disappointing.,sad
76,oliver_davis,You're an incredible human being. Keep it up!,supportive
77,zara_martin,This is absolutely fantastic! Great job!,happy
78,liam_jones,You're such a letdown. Disappointed.,sad
79,olivia_hill,Your positive energy is contagious! Keep it up.,supportive
80,lucas_martinez,This is disheartening. You should do better.,sad
81,ava_wilson,Your posts always bring a smile to my face!,happy
82,ethan_clark,You're just a negative influence. Stop.,angry
83,emma_anderson,Your kindness is truly appreciated. Keep it up!,supportive
84,william_roberts,This is so disheartening. You're better than this.,sad
85,sophia_murphy,Your positive attitude is infectious!,happy
86,james_stewart,You're such a disappointment. Improve.,sad
87,emily_scott,Your support means everything to me!,supportive
88,daniel_adams,This is truly amazing! Keep up the great work!,happy
89,lily_hill,You're just spreading negativity. Stop.,angry
90,ethan_gonzalez,Your support is invaluable. Keep shining!,supportive
91,olivia_morris,This is heartwarming. Keep doing what you do!,happy
92,liam_rivera,You're just a downer. Can't stand it.,angry
93,ava_castillo,Your positivity is needed. Keep spreading it!,supportive
94,noah_murphy,This is so heartwarming. Thank you for sharing!,happy
95,oliver_turner,You're just spreading negativity. Stop it.,angry
96,isabella_rodriguez,Your support means everything. Keep shining!,supportive
97,william_clark,Your creativity is truly inspiring!,happy
98,sophia_smith,This is really sad. It's disappointing.,sad
1,jessica_wong,Your posts always make me smile!,happy
2,jamal_jackson,This is truly disappointing. Do better.,sad
3,priya_patel,You're such a positive force. Keep it up!,supportive
4,emmanuel_kim,Stop spreading negativity. It's tiring.,angry
5,sofia_santos,Your kindness brightens my day. Thank you!,happy
6,ahmed_ali,This is heartwarming. Keep sharing your light!,happy
7,mariana_garcia,Stop being such a downer. It's exhausting.,angry
8,amara_adebowale,Your support means everything to me!,supportive
9,tyrell_williams,This is truly amazing! Great job!,happy
10,nina_kaur,You're just spreading negativity. Stop it.,angry
11,carlos_martinez,Your encouragement is truly appreciated. Keep it up!,supportive
12,sophie_dubois,This is so heartwarming. Thank you for sharing!,happy
13,liam_nguyen,You're just a negative presence. Go away.,angry
14,anaya_patel,Your positivity is infectious! Keep it up.,supportive
15,matteo_romano,Your content always brightens my day!,happy
16,kai_jones,This is terrible. You should be ashamed.,angry
17,mia_silva,You're making a difference. Keep it up!,supportive
18,lucas_garcia,This is so disappointing. Not what I expected.,sad
19,emily_choi,Your positive energy is contagious! Keep it up.,supportive
20,zara_gonzalez,Your creativity is truly inspiring!,happy
21,noah_kim,This is really sad. It's disappointing.,sad
22,olivia_martinez,You're an incredible human being. Keep it up!,supportive
23,liam_dubois,This is absolutely fantastic! Great job!,happy
24,lily_kaur,You're such a letdown. Disappointed.,sad
25,lucas_santos,Your support is invaluable. Keep shining!,supportive
26,anya_patel,This is heartwarming. Keep doing what you do!,happy
27,zainab_kaur,You're just a downer. Can't stand it.,angry
28,ali_martinez,Your positivity is needed. Keep spreading it!,supportive
29,isabella_garcia,This is so heartwarming. Thank you for sharing!,happy
30,cristian_martinez,You're just spreading negativity. Stop it.,angry
31,sofia_kaur,Your support means everything. Keep shining!,supportive
32,david_nguyen,Your creativity is truly inspiring!,happy
33,mia_martinez,This is really sad. It's disappointing.,sad
34,noah_garcia,You're an incredible human being. Keep it up!,supportive
35,sophia_dubois,This is absolutely fantastic! Great job!,happy
36,oliver_kaur,You're such a letdown. Disappointed.,sad
37,lily_garcia,Your support is invaluable. Keep shining!,supportive
38,lucas_martinez,Your posts always bring a smile to my face!,happy
39,zara_kaur,You're just a negative influence. Stop.,angry
40,ali_martinez,Your kindness is truly appreciated. Keep it up!,supportive
41,isabella_garcia,This is so disheartening. You're better than this.,sad
42,cristian_martinez,Your positive attitude is infectious!,happy
43,sofia_kaur,You're such a disappointment. Improve.,sad
44,david_nguyen,Your support means everything to me!,supportive
45,mia_martinez,This is truly amazing! Keep up the great work!,happy
46,noah_garcia,You're just spreading negativity. Stop.,angry
47,sophia_dubois,Your support is invaluable. Keep shining!,supportive
48,oliver_kaur,This is heartwarming. Keep doing what you do!,happy
49,lily_garcia,You're just a downer. Can't stand it.,angry
50,lucas_martinez,Your positivity is needed. Keep spreading it!,supportive
51,zara_kaur,This is so heartwarming. Thank you for sharing!,happy
52,ali_martinez,You're just spreading negativity. Stop it.,angry
53,isabella_garcia,Your support means everything. Keep shining!,supportive
54,cristian_martinez,Your creativity is truly inspiring!,happy
55,sofia_kaur,This is really sad. It's disappointing.,sad
56,david_nguyen,You're an incredible human being. Keep it up!,supportive
57,mia_martinez,This is absolutely fantastic! Great job!,happy
58,noah_garcia,You're such a letdown. Disappointed.,sad
59,sophia_dubois,Your support is invaluable. Keep shining!,supportive
60,oliver_kaur,Your posts always bring a smile to my face!,happy
61,lily_garcia,You're just a negative influence. Stop.,angry
62,lucas_martinez,Your kindness is truly appreciated. Keep it up!,supportive
63,zara_kaur,This is so disheartening. You're better than this.,sad
64,ali_martinez,Your positive attitude is infectious!,happy
65,isabella_garcia,You're such a disappointment. Improve.,sad
66,cristian_martinez,Your support means everything to me!,supportive
67,sofia_kaur,This is truly amazing! Keep up the great work!,happy
68,david_nguyen,You're just spreading negativity. Stop.,angry
69,mia_martinez,Your support is invaluable. Keep shining!,supportive
70,noah_garcia,This is heartwarming. Keep doing what you do!,happy
71,sophia_dubois,You're just a downer. Can't stand it.,angry
72,oliver_kaur,Your positivity is needed. Keep spreading it!,supportive
73,lily_garcia,This is so heartwarming. Thank you for sharing!,happy
74,lucas_martinez,You're just spreading negativity. Stop it.,angry
75,zara_kaur,Your support means everything. Keep shining!,supportive
76,ali_martinez,Your creativity is truly inspiring!,happy
77,isabella_garcia,This is really sad. It's disappointing.,sad
78,cristian_martinez,You're an incredible human being. Keep it up!,supportive
79,sofia_kaur,This is absolutely fantastic! Great job!,happy
80,david_nguyen,You're such a letdown. Disappointed.,sad
81,mia_martinez,Your support is invaluable. Keep shining!,supportive
82,noah_garcia,Your posts always bring a smile to my face!,happy
83,sophia_dubois,You're just a negative influence. Stop.,angry
84,oliver_kaur,Your kindness is truly appreciated. Keep it up!,supportive
85,lily_garcia,This is so disheartening. You're better than this.,sad
86,lucas_martinez,Your positive attitude is infectious!,happy
87,zara_kaur,You're such a disappointment. Improve.,sad
88,ali_martinez,Your support means everything to me!,supportive
89,isabella_garcia,This is truly amazing! Keep up the great work!,happy
90,cristian_martinez,You're just spreading negativity. Stop.,angry
91,sofia_kaur,Your support is invaluable. Keep shining!,supportive
92,david_nguyen,This is heartwarming. Keep doing what you do!,happy
93,mia_martinez,You're just a downer. Can't stand it.,angry
94,noah_garcia,Your positivity is needed. Keep spreading it!,supportive
95,sophia_dubois,This is so heartwarming. Thank you for sharing!,happy
257,nina_smith,This is truly heartwarming. Keep spreading the love!,happy
258,alejandro_gonzalez,You're just a downer. Can't stand it.,angry
259,lina_kim,Your kindness is truly appreciated. Keep it up!,supportive
260,mohammed_ali,This is really sad. It's disappointing.,sad
261,emily_wilson,Your positivity is infectious! Keep spreading it!,happy
262,yuki_tanaka,You're just spreading negativity. Stop.,angry
263,sophie_dubois,Your support means everything. Keep shining!,supportive
264,daniel_nguyen,Your creativity is truly inspiring!,happy
265,maria_garcia,This is truly heartwarming. Keep spreading the love!,happy
266,luca_martinez,You're just a downer. Can't stand it.,angry
267,juliana_rodriguez,Your kindness is truly appreciated. Keep it up!,supportive
268,yusuf_ali,This is really sad. It's disappointing.,sad
269,emilia_santos,Your positivity is infectious! Keep spreading it!,happy
270,yuna_kim,You're just spreading negativity. Stop.,angry
271,sophie_dubois,Your support means everything. Keep shining!,supportive
272,daniel_nguyen,Your creativity is truly inspiring!,happy
273,maria_garcia,This is truly heartwarming. Keep spreading the love!,happy
274,luca_martinez,You're just a downer. Can't stand it.,angry
275,juliana_rodriguez,Your kindness is truly appreciated. Keep it up!,supportive
276,yusuf_ali,This is really sad. It's disappointing.,sad
277,emilia_santos,Your positivity is infectious! Keep spreading it!,happy
278,yuna_kim,You're just spreading negativity. Stop.,angry
279,sophie_dubois,Your support means everything. Keep shining!,supportive
280,daniel_nguyen,Your creativity is truly inspiring!,happy
281,maria_garcia,This is truly heartwarming. Keep spreading the love!,happy
282,luca_martinez,You're just a downer. Can't stand it.,angry
283,juliana_rodriguez,Your kindness is truly appreciated. Keep it up!,supportive
284,yusuf_ali,This is really sad. It's disappointing.,sad
285,emilia_santos,Your positivity is infectious! Keep spreading it!,happy
286,yuna_kim,You're just spreading negativity. Stop.,angry
